"","Country","Code","Vaccination rate","Total Population"
"1","Albania","ALB",36.53,NA
"2","Andorra","AND",68.58,NA
"3","Armenia","ARM",24.08,NA
"4","Austria","AUT",70.2321317990748,8901064
"5","Azerbaijan","AZE",45.74,NA
"6","Belgium","BEL",76.3683386504942,11522440
"7","Bulgaria","BGR",27.6011072171373,6951482
"8","Bosnia and Herzegovina","BIH",22.08,NA
"9","Belarus","BLR",37.81,NA
"10","Switzerland","CHE",66.9,NA
"11","Cyprus","CYP",70.7068090832822,888005
"12","Czech Republic","CZE",62.2264256416649,10693939
"13","Germany","DEU",71.2573267445914,83166711
"14","Denmark","DNK",78.7007130463665,5822763
"15","Spain","ESP",75.2305672363669,47332614
"16","Estonia","EST",59.8675973080026,1328976
"17","Finland","FIN",73.2717474479177,5525292
"18","France","FRA",73.7556174804906,67320216
"19","United Kingdom","GBR",69.54,NA
"20","Georgia","GEO",28.96,NA
"21","Greece","GRC",65.8682575512674,10718565
"22","Croatia","HRV",52.9117224164123,4058165
"23","Hungary","HUN",60.7141636144886,9769526
"24","Ireland","IRL",77.4354207121045,4964440
"25","Iceland","ISL",77.3896422745473,364134
"26","Israel","ISR",63.8,NA
"27","Italy","ITA",74.2982183811376,59641488
"28","Kazakhstan","KAZ",44.83,NA
"29","Kyrgyz Republic","KGZ",15.08,NA
"30","Liechtenstein","LIE",60.9363305546236,38747
"31","Lithuania","LTU",65.7051132926999,2794090
"32","Luxembourg","LUX",69.2139375315441,626108
"33","Latvia","LVA",63.5306852582332,1907675
"34","Monaco","MCO",58.98,NA
"35","Moldova","MDA",24.41,NA
"36","North Macedonia","MKD",39.63,NA
"37","Malta","MLT",82.3190118236021,514564
"38","Montenegro","MNE",43.44,NA
"39","Netherlands","NLD",70.3607479153484,17407585
"40","Norway","NOR",73.174857198216,5367580
"41","Poland","POL",55.5754578899524,37958138
"42","Portugal","PRT",82.6539453680098,10295909
"43","Romania","ROU",40.5455154624401,19328838
"44","Russian Federation","RUS",45.76,NA
"45","San Marino","SMR",63.76,NA
"46","Serbia","SRB",46.87,NA
"47","Slovak Republic","SVK",48.0021063150425,5457873
"48","Slovenia","SVN",56.7836321206416,2095861
"49","Sweden","SWE",69.4664553362842,10327589
"50","Tajikistan","TJK",31.27,NA
"51","Turkmenistan","TKM",52.41,NA
"52","Turkey","TUR",60.68,NA
"53","Ukraine","UKR",31.65,NA
"54","Uzbekistan","UZB",36.66,NA
"55","Kosovo","XKX",NA,NA
